MPG City,MPG Highway,Horsepower,Weight (000 lbs),Torque Foot Pounds,Displacement CI,Fuel Capacity,Seating (Standard),Cylinders,Transmission Speeds,Transmission (Automatic/Manual),Height,Length,Wheelbase,Width,Track (Front),Track (Rear),Base Price MSRP,Weight,Curb Weight AT,Model,Model Year
16,21,240,4.074,265,213,21.1,5,6,4,A,70.7,183.1,106.3,72.4,60.6,60.8,34750,4074,4074,2003 Infiniti QX4 4-Door Luxury SUV 4x2 Current,2003
17,23,340,3.977,333,274,21.4,5,8,5,A,58.7,199.6,113,72.6,62.2,61.4,52000,3977,3977,2003 Infiniti Q45 Luxury Current,2003
17,23,280,4.046,270,,23.8,5,6,5,A,65,189.1,112.2,75.8,62.7,64.6,34200,4046,4046,2003 Infiniti FX35 2WD Current,2003
15,19,315,4.299,329,,23.8,5,8,5,A,65,189.1,112.2,75.8,62.7,64.6,44225,4299,4299,2003 Infiniti FX45 AWD Current,2003
20,24,130,3.557,144,134,15.6,5,4,5,M,67.1,170.3,96.9,70.4,59.6,59.8,13999,3557,,2003 Isuzu Rodeo Sport S 2WD Soft Top Current,2003
17,21,230,3.917,230,213,19.5,5,6,4,A,67.2,182.6,106.4,70.7,59.6,59.8,24345,3917,3917,2003 Isuzu Axiom S 2WD Current,2003
15,20,275,4.79,275,256,25,7,6,4,A,75.5,207.6,129,76.1,63.1,62.1,28649,4790,4790,2003 Isuzu Ascender S 4X2 Current,2003
19,28,192,3.472,178,152,16,5,6,5,M,54.8,183.9,106.7,70.4,59.9,60.5,29305,3472,3516,2003 Jaguar X-Type 2.5-Liter Current,2003
18,26,240,3.736,221,181,15,5,6,5,M,56,192,114.5,71.6,60.4,60.7,41850,3736,3777,2003 Jaguar S-Type 3.0-Liter Current,2003
18,26,294,3.759,303,256,19.9,4,8,6,A,50.5,187.4,101.9,72,59.2,59,69330,3759,3759,2003 Jaguar XK Series XK8 Coupe Current,2003
18,28,294,3.766,303,256,22.5,5,8,6,A,57,200.4,119.4,73.2,61.3,60.9,59330,3766,3766,2004 Jaguar XJ XJ8 Current,2004
18,20,147,3.235,165,148,19,2,4,5,M,70.9,155.4,93.4,66.7,58,58,16065,3235,,2003 Jeep Wrangler SE Current,2003
19,24,150,3.747,167,148,18.5,5,4,5,M,73.2,174.2,104.3,71.1,60,59.7,17910,3747,3846,2003 Jeep Liberty Sport 2WD Current,2003
16,21,195,3.786,230,242,20.5,5,6,4,A,70.3,181.6,105.9,72.6,59.5,59.5,26480,3786,3786,2003 Jeep Grand Cherokee Laredo 2WD Current,2003
26,33,104,2.4305,104,97,11.9,5,4,5,M,56.7,166.9,94.9,65.9,56.4,57.1,9665,2430.5,2458,2003 Kia Rio Sedan Current,2003
24,32,124,2.689,119,109,13.2,5,4,5,M,55.7,177.6,100.8,67.7,58.1,57.3,11695,2689,2717,2003 Kia Spectra Sedan Current,2003
23,30,138,3.291,147,144,17.2,5,4,5,M,55.5,185.8,106.3,71.5,60.6,59.8,15500,3291,3301,2003 Kia Optima LX Current,2003
15,20,192,4.057,217,213,21.1,5,6,4,A,68.1,179.8,106.7,73.3,62.2,62.2,19995,4057,4057,2003 Kia Sorento LX 4X2 Current,2003
15,20,195,4.802,218,213,19.8,7,6,5,A,69.3,194.1,114.6,74.6,64.4,63.4,19975,4802,4802,2003 Kia Sedona LX Current,2003
9,13,571,3.638,479,378,26.4,2,12,6,M,44.7,180.3,104.9,80.5,64.4,66.7,281400,3638,,2003 Lamborghini Murcielago 6.2 Current,2003
17,20,174,3.62,177,152,16.9,5,6,5,A,,175,101,71.1,60.4,60.8,24975,3620,3620,2003 Land Rover Freelander S Current,2003
18,25,215,3.255,218,183,17.5,5,6,5,M,55.5,176.6,105.1,67.9,58.9,58.5,29435,3255,,2003 Lexus IS 300 5-Speed Sedan Current,2003
21,29,210,3.439,220,183,18.5,5,6,5,A,57.3,191.1,107.1,71.3,60.8,60.4,31725,3439,3439,2003 Lexus ES 300 Sedan Current,2003
18,25,220,3.649,220,183,19.8,5,6,5,A,55.9,189.2,110.2,70.9,60.4,59.4,38725,3649,3649,2003 Lexus GS 300 Sedan Current,2003
19,25,290,3.945,320,262,22.2,5,8,5,A,58.7,196.7,115.2,72,61.8,61.8,55125,3945,3945,2003 Lexus LS 430 Sedan Current,2003
18,23,300,3.84,325,261,19.8,4,8,5,A,53.1,177.8,103.1,72,61,60.4,62225,3840,3840,2003 Lexus SC 430 Convertible Current,2003
15,18,235,4.675,320,285,23,5,8,5,A,74.6,188.2,109.8,74,62.2,62.2,44925,4675,4675,2003 Lexus GX 470 Sport Utility Current,2003
13,17,235,5.59,320,285,25.4,8,8,5,A,72.8,192.5,112.2,76.4,63.8,63.6,63625,5590,5590,2003 Lexus LX 470 Sport Utility Current,2003
20,26,230,3.86,242,202,19.2,5,6,5,A,66.1,186.2,106.9,72.6,62,61.2,35025,3860,3860,2004 Lexus RX 330 Front Wheel Drive Current,2004
17,25,239,4.345,287,281,19,6,8,4,A,58.6,215.4,117.7,78.2,63.4,65.9,41020,4345,4345,2004 Lincoln Town Car Signature Current,2004
13,19,302,4.834,300,281,22.5,6,8,5,A,70.9,193.3,113.7,73.9,60.9,61.2,39710,4834,4834,2004 Lincoln Aviator 4x2 Luxury Current,2004
20,26,232,3.674,220,181,18,5,6,5,A,56.1,193.9,114.5,73.2,60.5,60.8,31860,3674,3674,2004 Lincoln LS V6 Automatic Luxury Current,2004
12,17,300,5.822,355,330,28,7,8,4,A,77.8,206,118.8,78.7,67,67.1,48485,5822,5822,2004 Lincoln Navigator 4x2 Luxury Current,2004
15,22,350,3.043,295,214,18.5,2,8,5,M,45.3,172,95.3,74.1,60.2,60.8,90825,3043,,2003 Lotus Esprit V8 Coupe Current,2003
11,17,390,3.792,330,259,23,2,8,6,M,51.4,169.4,96.1,71.7,60,60.6,85542,3792,,2003 Maserati Spyder GT Current,2003
11,17,390,3.678,330,259,23.2,4,8,6,M,51.4,178.1,104.7,71.7,60,60.1,80211,3678,,2003 Maserati Coupe GT Current,2003
25,31,130,2.6605,135,121,14.5,5,4,5,M,55.5,175.3,102.8,67.1,57.9,57.9,13680,2660.5,2687,2003 Mazda Proteg_ DX Current,2003
25,31,130,2.7325,135,121,14.5,5,4,5,M,57.8,170.5,102.8,67.1,57.7,57.9,16895,2732.5,2749,2003 Mazda Proteg_5 Sport Current,2003
25,32,160,3.0665,155,138,16.9,5,4,5,M,56.7,186.8,105.3,70.1,60.6,60.2,18650,3066.5,3091,2003 Mazda Mazda6 i Current,2003
24,30,170,2.843,160,121,14.5,5,4,5,M,55.5,174.6,102.8,67.1,57.2,57.4,19980,2843,,2003 Mazda MAZDASPEED Proteg_ Sport Compact Sedan Current,2003
23,28,142,2.408,125,112,12.7,2,4,5,M,48.4,155.7,89.2,66,55.7,56.7,21843,2408,2429,2003 Mazda MX-5 Miata Base Current,2003
23,28,130,3.091,135,121,16.4,5,4,5,M,69.3,173,103.1,70.8,60.6,59.8,18455,3091,,2003 Mazda Tribute DX I4 Current,2003
18,25,200,3.794,200,181,19.8,7,6,5,A,68.7,187.8,111.8,72.1,60.6,60.8,21660,3794,3794,2003 Mazda MPV LX-SV Current,2003
18,25,207,3.053,164,80,15.9,4,,4,A,52.8,174.3,106.4,69.7,58.9,59.3,25180,3053,3053,2004 Mazda RX-8 AT Current,2004
